Price,FlightNumber,Date of Departure,Date of Arrival,Available seats,Arrival Airport code,Arrival Airport name,Departure Airport code,Departure Airport name,Flight Duration,Scraping date
100.8,FR 2941,2023-04-06T11:25:00.000,2023-04-06T13:20:00.000,2,FAO,Faro,CRL,Brussels (Charleroi),02:55,2023-03-16 08:34:40

79.99,FR 2941,2023-04-07T07:05:00.000,2023-04-07T09:00:00.000,0,FAO,Faro,CRL,Brussels (Charleroi),02:55,2023-03-16 08:34:40

87.49,FR 6312,2023-04-07T17:30:00.000,2023-04-07T19:25:00.000,0,FAO,Faro,CRL,Brussels (Charleroi),02:55,2023-03-16 08:34:40

196.99,FR 3534,2023-04-01T15:50:00.000,2023-04-01T18:15:00.000,1,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:40

185.99,FR 3534,2023-04-02T09:55:00.000,2023-04-02T12:20:00.000,4,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:40

95.99,FR 3534,2023-04-03T16:55:00.000,2023-04-03T19:20:00.000,2,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:40

84.62,FR 3534,2023-04-04T06:30:00.000,2023-04-04T08:55:00.000,0,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:40

90.99,FR 9053,2023-04-04T12:15:00.000,2023-04-04T14:40:00.000,0,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:40

110.49,FR 3534,2023-04-05T10:00:00.000,2023-04-05T12:25:00.000,5,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:40

104.99,FR 9053,2023-04-05T14:45:00.000,2023-04-05T17:10:00.000,0,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:40

70.08,FR 6063,2023-04-05T21:55:00.000,2023-04-06T00:20:00.000,4,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:40

93.09,FR 9053,2023-04-06T09:00:00.000,2023-04-06T11:25:00.000,0,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:40

110.69,FR 3534,2023-04-06T15:05:00.000,2023-04-06T17:30:00.000,5,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:40

133.54,FR 3534,2023-04-07T09:45:00.000,2023-04-07T12:10:00.000,3,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:40

133.54,FR 9053,2023-04-07T17:20:00.000,2023-04-07T19:45:00.000,0,ALC,Alicante,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:40

128.36,FR 6456,2023-04-02T07:30:00.000,2023-04-02T09:55:00.000,2,IBZ,Ibiza,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:41

67.64,FR 6456,2023-04-04T09:25:00.000,2023-04-04T11:50:00.000,3,IBZ,Ibiza,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:41

53.01,FR 6456,2023-04-06T10:20:00.000,2023-04-06T12:45:00.000,0,IBZ,Ibiza,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:41

63.09,FR 6456,2023-04-07T16:15:00.000,2023-04-07T18:40:00.000,0,IBZ,Ibiza,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:41

139.99,FR 1916,2023-04-01T13:35:00.000,2023-04-01T16:20:00.000,0,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:41

134.64,FR 1916,2023-04-02T21:30:00.000,2023-04-03T00:15:00.000,4,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:41

94.19,FR 1916,2023-04-03T19:20:00.000,2023-04-03T22:05:00.000,1,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:41

139.99,FR 1916,2023-04-04T16:00:00.000,2023-04-04T18:45:00.000,0,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:41

104.99,FR 1916,2023-04-05T06:45:00.000,2023-04-05T09:30:00.000,5,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:41

135.64,FR 1916,2023-04-06T17:30:00.000,2023-04-06T20:15:00.000,4,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:41

203.49,FR 1928,2023-04-07T10:00:00.000,2023-04-07T12:45:00.000,3,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:41

161.99,FR 1916,2023-04-07T20:55:00.000,2023-04-07T23:40:00.000,4,AGP,Malaga,CRL,Brussels (Charleroi),02:45,2023-03-16 08:34:41

131.49,FR 7831,2023-04-01T17:20:00.000,2023-04-01T19:30:00.000,3,PMI,Mallorca,CRL,Brussels (Charleroi),02:10,2023-03-16 08:34:41

87.99,FR 7831,2023-04-03T08:55:00.000,2023-04-03T11:05:00.000,0,PMI,Mallorca,CRL,Brussels (Charleroi),02:10,2023-03-16 08:34:41

78.99,FR 7831,2023-04-04T06:35:00.000,2023-04-04T08:45:00.000,1,PMI,Mallorca,CRL,Brussels (Charleroi),02:10,2023-03-16 08:34:41

74.99,FR 7831,2023-04-05T06:55:00.000,2023-04-05T09:05:00.000,0,PMI,Mallorca,CRL,Brussels (Charleroi),02:10,2023-03-16 08:34:41

114.99,FR 7831,2023-04-06T17:45:00.000,2023-04-06T19:55:00.000,1,PMI,Mallorca,CRL,Brussels (Charleroi),02:10,2023-03-16 08:34:41

162.99,FR 563,2023-04-02T12:35:00.000,2023-04-02T16:10:00.000,0,TFS,Tenerife (South),CRL,Brussels (Charleroi),04:35,2023-03-16 08:34:42

141.99,FR 563,2023-04-04T07:15:00.000,2023-04-04T10:50:00.000,0,TFS,Tenerife (South),CRL,Brussels (Charleroi),04:35,2023-03-16 08:34:42

74.88,FR 563,2023-04-06T20:00:00.000,2023-04-06T23:35:00.000,0,TFS,Tenerife (South),CRL,Brussels (Charleroi),04:35,2023-03-16 08:34:42

84.66,FR 563,2023-04-07T06:30:00.000,2023-04-07T10:05:00.000,5,TFS,Tenerife (South),CRL,Brussels (Charleroi),04:35,2023-03-16 08:34:42

127.99,FR 2923,2023-04-09T09:55:00.000,2023-04-09T12:50:00.000,4,AGP,Malaga,BRU,Brussels,02:55,2023-03-16 08:34:45

117.79,FR 2923,2023-04-10T17:40:00.000,2023-04-10T20:30:00.000,1,AGP,Malaga,BRU,Brussels,02:50,2023-03-16 08:34:45

89.84,FR 2923,2023-04-12T10:05:00.000,2023-04-12T13:00:00.000,4,AGP,Malaga,BRU,Brussels,02:55,2023-03-16 08:34:45

133.54,FR 2915,2023-04-07T11:00:00.000,2023-04-07T13:15:00.000,3,PMI,Mallorca,BRU,Brussels,02:15,2023-03-16 08:34:45

105.99,FR 2915,2023-04-10T20:25:00.000,2023-04-10T22:40:00.000,2,PMI,Mallorca,BRU,Brussels,02:15,2023-03-16 08:34:45

79.99,FR 2915,2023-04-12T17:25:00.000,2023-04-12T19:40:00.000,4,PMI,Mallorca,BRU,Brussels,02:15,2023-03-16 08:34:45

65.87,FR 6251,2023-04-09T17:00:00.000,2023-04-09T20:40:00.000,1,CFU,Corfu,CRL,Brussels (Charleroi),02:40,2023-03-16 08:34:47

133.19,FR 7986,2023-04-08T08:10:00.000,2023-04-08T12:35:00.000,1,HER,Heraklion Crete,CRL,Brussels (Charleroi),03:25,2023-03-16 08:34:47

50.81,FR 7986,2023-04-11T07:20:00.000,2023-04-11T11:45:00.000,0,HER,Heraklion Crete,CRL,Brussels (Charleroi),03:25,2023-03-16 08:34:47

76.99,FR 8577,2023-04-07T07:55:00.000,2023-04-07T12:30:00.000,0,RHO,Rhodes,CRL,Brussels (Charleroi),03:35,2023-03-16 08:34:48

52.84,FR 8577,2023-04-10T12:00:00.000,2023-04-10T16:35:00.000,0,RHO,Rhodes,CRL,Brussels (Charleroi),03:35,2023-03-16 08:34:48

47.93,FR 8577,2023-04-12T13:10:00.000,2023-04-12T17:45:00.000,0,RHO,Rhodes,CRL,Brussels (Charleroi),03:35,2023-03-16 08:34:48

87.44,FR 7737,2023-04-07T07:00:00.000,2023-04-07T09:25:00.000,4,BDS,Brindisi,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:48

38.99,FR 7737,2023-04-09T17:30:00.000,2023-04-09T19:55:00.000,1,BDS,Brindisi,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:48

39.99,FR 7737,2023-04-10T20:55:00.000,2023-04-10T23:20:00.000,5,BDS,Brindisi,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:48

68.54,FR 7737,2023-04-11T17:20:00.000,2023-04-11T19:45:00.000,0,BDS,Brindisi,CRL,Brussels (Charleroi),02:25,2023-03-16 08:34:48

116.99,FR 1302,2023-04-07T09:10:00.000,2023-04-07T11:25:00.000,1,NAP,Naples,CRL,Brussels (Charleroi),02:15,2023-03-16 08:34:48

147.7,FR 1310,2023-04-07T20:00:00.000,2023-04-07T22:15:00.000,2,NAP,Naples,CRL,Brussels (Charleroi),02:15,2023-03-16 08:34:48

128.33,FR 1302,2023-04-08T07:45:00.000,2023-04-08T10:00:00.000,0,NAP,Naples,CRL,Brussels (Charleroi),02:15,2023-03-16 08:34:48

108.84,FR 1302,2023-04-09T09:45:00.000,2023-04-09T12:00:00.000,3,NAP,Naples,CRL,Brussels (Charleroi),02:15,2023-03-16 08:34:48

43.64,FR 1302,2023-04-10T06:30:00.000,2023-04-10T08:45:00.000,0,NAP,Naples,CRL,Brussels (Charleroi),02:15,2023-03-16 08:34:48

83.34,FR 1310,2023-04-10T09:30:00.000,2023-04-10T11:45:00.000,0,NAP,Naples,CRL,Brussels (Charleroi),02:15,2023-03-16 08:34:48

