Price,FlightNumber,Date of Departure,Date of Arrival,Available seats,Arrival Airport code,Arrival Airport name,Departure Airport code,Departure Airport name,Flight Duration,Scraping date
129.99,TB 1113,2023-04-08T17:00,2023-04-08T19:45,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

129.99,TB 1111,2023-04-09T06:10,2023-04-09T08:55,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

129.99,TB 1113,2023-04-09T16:30,2023-04-09T19:15,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

129.99,TB 1111,2023-04-10T06:05,2023-04-10T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

169.99,TB 1135,2023-04-11T06:15,2023-04-11T09:00,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:20:01

239.99,TB 1417,2023-04-06T06:20,2023-04-06T10:30,10,IBZ,Ibiza,BRU,Brussel,4u 10m,2023-03-16 10:20:09

269.99,TB 1417,2023-04-09T06:30,2023-04-09T10:40,10,IBZ,Ibiza,BRU,Brussel,4u 10m,2023-03-16 10:20:09

134.99,TB 1011,2023-04-05T06:05,2023-04-05T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

184.99,TB 1027,2023-04-06T06:05,2023-04-06T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

189.99,TB 1013,2023-04-06T15:55,2023-04-06T19:00,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

169.99,TB 1011,2023-04-07T06:00,2023-04-07T09:05,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

259.99,TB 1011,2023-04-08T06:00,2023-04-08T09:05,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

219.99,TB 1013,2023-04-08T14:25,2023-04-08T17:30,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

259.99,TB 1011,2023-04-09T13:50,2023-04-09T16:55,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

179.99,TB 1013,2023-04-09T15:25,2023-04-09T18:30,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

154.99,TB 1011,2023-04-10T06:05,2023-04-10T09:10,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

149.99,TB 1013,2023-04-10T06:20,2023-04-10T09:25,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

129.99,TB 1011,2023-04-11T06:15,2023-04-11T09:20,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

99.99,TB 1013,2023-04-11T16:00,2023-04-11T19:05,10,AGP,Malaga,BRU,Brussel,3u 5m,2023-03-16 10:20:18

269.99,TB 1417,2023-04-06T06:20,2023-04-06T08:55,10,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:20:26

319.99,TB 1419,2023-04-07T06:20,2023-04-07T08:55,9,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:20:26

129.99,TB 1417,2023-04-09T06:30,2023-04-09T09:05,10,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:20:26

114.99,TB 1411,2023-04-10T06:15,2023-04-10T08:50,10,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:20:26

99.99,TB 1413,2023-04-11T15:30,2023-04-11T18:05,8,PMI,Palma de Mallorca,BRU,Brussel,2u 35m,2023-03-16 10:20:26

204.99,TB 1751,2023-04-05T14:05,2023-04-05T18:05,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:20:34

249.99,TB 1753,2023-04-06T12:40,2023-04-06T16:40,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:20:34

219.99,TB 1753,2023-04-07T13:35,2023-04-07T17:35,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:20:34

549.99,TB 1753,2023-04-08T08:00,2023-04-08T12:00,2,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:20:34

379.99,TB 1755,2023-04-08T16:20,2023-04-08T20:20,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:20:34

279.99,TB 1753,2023-04-09T14:10,2023-04-09T18:10,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:20:34

284.99,TB 1751,2023-04-10T06:10,2023-04-10T10:10,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:20:34

149.99,TB 1753,2023-04-11T06:05,2023-04-11T10:05,10,TFS,Tenerife,BRU,Brussel,5u 0m,2023-03-16 10:20:34

199.99,TB 2257,2023-04-14T08:00,2023-04-14T12:50,10,HER,Kreta-Heraklion,BRU,Brussel,3u 50m,2023-03-16 10:20:50

399.99,TB 2263,2023-04-16T06:30,2023-04-16T11:20,1,HER,Kreta-Heraklion,BRU,Brussel,3u 50m,2023-03-16 10:20:50

179.99,TB 2341,2023-04-16T07:30,2023-04-16T12:30,10,RHO,Rhodos,BRU,Brussel,4u 0m,2023-03-16 10:20:57

219.99,TB 2367,2023-04-18T06:00,2023-04-18T11:00,10,RHO,Rhodos,BRU,Brussel,4u 0m,2023-03-16 10:20:57

99.99,TB 1941,2023-04-16T13:35,2023-04-16T15:50,10,FAO,Faro,BRU,Brussel,3u 15m,2023-03-16 10:21:30

77.99,TB 1111,2023-04-12T06:05,2023-04-12T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:21:38

87.99,TB 1113,2023-04-12T06:10,2023-04-12T08:55,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:21:38

79.99,TB 1111,2023-04-13T06:05,2023-04-13T08:50,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:21:38

75.99,TB 1113,2023-04-13T16:25,2023-04-13T19:10,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:21:38

79.99,TB 1419,2023-04-14T06:20,2023-04-14T10:40,12,ALC,Alicante,BRU,Brussel,4u 20m,2023-03-16 10:21:38

79.99,TB 1113,2023-04-14T06:25,2023-04-14T09:10,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:21:38

174.99,TB 1135,2023-04-15T06:00,2023-04-15T08:45,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:21:38

79.99,TB 1113,2023-04-15T17:00,2023-04-15T19:45,10,ALC,Alicante,BRU,Brussel,2u 45m,2023-03-16 10:21:38

