Price,Date of departure,Available seats,Arrival country code,Arrival country name,Departure country code,Departure country name249.99,2023-04-02,10,FAO,Faro,BRU,Brussel91.99,2023-03-29,10,ALC,Alicante,BRU,Brussel97.99,2023-03-30,10,ALC,Alicante,BRU,Brussel159.99,2023-03-31,10,ALC,Alicante,BRU,Brussel159.99,2023-03-31,10,ALC,Alicante,BRU,Brussel289.99,2023-04-01,10,ALC,Alicante,BRU,Brussel179.99,2023-04-01,10,ALC,Alicante,BRU,Brussel164.99,2023-04-02,10,ALC,Alicante,BRU,Brussel159.99,2023-04-02,10,ALC,Alicante,BRU,Brussel169.99,2023-04-03,10,ALC,Alicante,BRU,Brussel194.99,2023-04-04,10,ALC,Alicante,BRU,Brussel149.99,2023-04-02,10,IBZ,Ibiza,BRU,Brussel144.99,2023-03-29,10,AGP,Malaga,BRU,Brussel129.99,2023-03-30,10,AGP,Malaga,BRU,Brussel174.99,2023-03-31,10,AGP,Malaga,BRU,Brussel329.99,2023-04-01,10,AGP,Malaga,BRU,Brussel269.99,2023-04-01,9,AGP,Malaga,BRU,Brussel199.99,2023-04-02,10,AGP,Malaga,BRU,Brussel194.99,2023-04-02,10,AGP,Malaga,BRU,Brussel214.99,2023-04-03,10,AGP,Malaga,BRU,Brussel169.99,2023-04-03,10,AGP,Malaga,BRU,Brussel154.99,2023-04-04,10,AGP,Malaga,BRU,Brussel149.99,2023-04-04,10,AGP,Malaga,BRU,Brussel149.99,2023-03-31,10,PMI,Palma de Mallorca,BRU,Brussel199.99,2023-04-02,10,PMI,Palma de Mallorca,BRU,Brussel154.99,2023-04-04,10,PMI,Palma de Mallorca,BRU,Brussel189.99,2023-03-29,10,TFS,Tenerife,BRU,Brussel159.99,2023-03-30,10,TFS,Tenerife,BRU,Brussel279.99,2023-03-31,10,TFS,Tenerife,BRU,Brussel249.99,2023-03-31,10,TFS,Tenerife,BRU,Brussel689.99,2023-04-01,2,TFS,Tenerife,BRU,Brussel469.99,2023-04-01,10,TFS,Tenerife,BRU,Brussel229.99,2023-04-01,10,TFS,Tenerife,BRU,Brussel259.99,2023-04-02,10,TFS,Tenerife,BRU,Brussel489.99,2023-04-03,10,TFS,Tenerife,BRU,Brussel369.99,2023-04-04,10,TFS,Tenerife,BRU,Brussel219.99,2023-04-09,10,FAO,Faro,BRU,Brussel
109.99,2023-04-14,10,ALC,Alicante,BRU,Brussel
174.99,2023-04-15,10,ALC,Alicante,BRU,Brussel
119.99,2023-04-15,10,ALC,Alicante,BRU,Brussel
124.99,2023-04-16,10,ALC,Alicante,BRU,Brussel
124.99,2023-04-16,10,ALC,Alicante,BRU,Brussel
124.99,2023-04-17,10,ALC,Alicante,BRU,Brussel
149.99,2023-04-18,10,ALC,Alicante,BRU,Brussel
99.99,2023-04-13,10,IBZ,Ibiza,BRU,Brussel
114.99,2023-04-16,10,IBZ,Ibiza,BRU,Brussel
97.99,2023-04-12,10,AGP,Malaga,BRU,Brussel
104.99,2023-04-13,10,AGP,Malaga,BRU,Brussel
104.99,2023-04-13,10,AGP,Malaga,BRU,Brussel
109.99,2023-04-14,10,AGP,Malaga,BRU,Brussel
109.99,2023-04-15,10,AGP,Malaga,BRU,Brussel
114.99,2023-04-15,10,AGP,Malaga,BRU,Brussel
124.99,2023-04-16,10,AGP,Malaga,BRU,Brussel
124.99,2023-04-16,10,AGP,Malaga,BRU,Brussel
174.99,2023-04-17,10,AGP,Malaga,BRU,Brussel
99.99,2023-04-18,10,AGP,Malaga,BRU,Brussel
81.99,2023-04-13,10,PMI,Palma de Mallorca,BRU,Brussel
179.99,2023-04-14,10,PMI,Palma de Mallorca,BRU,Brussel
134.99,2023-04-16,10,PMI,Palma de Mallorca,BRU,Brussel
149.99,2023-04-17,10,PMI,Palma de Mallorca,BRU,Brussel
95.99,2023-04-18,10,PMI,Palma de Mallorca,BRU,Brussel
159.99,2023-04-12,10,TFS,Tenerife,BRU,Brussel
149.99,2023-04-13,10,TFS,Tenerife,BRU,Brussel
249.99,2023-04-14,10,TFS,Tenerife,BRU,Brussel
139.99,2023-04-14,10,TFS,Tenerife,BRU,Brussel
249.99,2023-04-15,10,TFS,Tenerife,BRU,Brussel
144.99,2023-04-15,10,TFS,Tenerife,BRU,Brussel
144.99,2023-04-15,10,TFS,Tenerife,BRU,Brussel
154.99,2023-04-16,10,TFS,Tenerife,BRU,Brussel
249.99,2023-04-17,10,TFS,Tenerife,BRU,Brussel
239.99,2023-04-18,10,TFS,Tenerife,BRU,Brussel
209.99,2023-04-23,10,CFU,Corfu,BRU,Brussel
189.99,2023-04-20,10,HER,Kreta-Heraklion,BRU,Brussel
219.99,2023-04-21,10,HER,Kreta-Heraklion,BRU,Brussel
399.99,2023-04-23,10,HER,Kreta-Heraklion,BRU,Brussel
279.99,2023-04-24,10,HER,Kreta-Heraklion,BRU,Brussel
259.99,2023-04-21,10,RHO,Rhodos,BRU,Brussel
349.99,2023-04-22,10,RHO,Rhodos,BRU,Brussel
259.99,2023-04-23,10,RHO,Rhodos,BRU,Brussel
299.99,2023-04-25,10,RHO,Rhodos,BRU,Brussel
249.99,2023-04-23,10,FAO,Faro,BRU,Brussel
99.99,2023-04-19,10,ALC,Alicante,BRU,Brussel
104.99,2023-04-19,10,ALC,Alicante,BRU,Brussel
99.99,2023-04-20,10,ALC,Alicante,BRU,Brussel
179.99,2023-04-21,10,ALC,Alicante,BRU,Brussel
149.99,2023-04-23,10,ALC,Alicante,BRU,Brussel
129.99,2023-04-24,10,ALC,Alicante,BRU,Brussel
139.99,2023-04-25,10,ALC,Alicante,BRU,Brussel
149.99,2023-04-20,10,IBZ,Ibiza,BRU,Brussel
239.99,2023-04-22,10,IBZ,Ibiza,BRU,Brussel
169.99,2023-04-23,10,IBZ,Ibiza,BRU,Brussel
114.99,2023-04-19,10,AGP,Malaga,BRU,Brussel
279.99,2023-04-20,4,AGP,Malaga,BRU,Brussel
154.99,2023-04-21,10,AGP,Malaga,BRU,Brussel
